NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Afghanistan ;Kabul ;647500;24326959;37,6;Asia;20;80;;;;;0;0;600;4797;;57;13;29;0;26;47;46;Primary;Rural
Albania ;Tirane;28750;3453505;120,1;Europe;37;63;;;;;4100;6;1210;574;0;50;;18;;19,9;69,9;75,5;Primary;Rural
Algeria ;Algiers ;2381740;29181456;12,3;Africa;56;44;1395000;9200;59300000;3700000;108700;3,5;3800;1119;50;13;24;36;0,03;28,3;65,8;66,6;Tertiary ;Urban
Andorra ;Andorra la Vella;450;67569;150,2;Europe;;;;;;;1000;0;16200;;;;;;;;;;;
Angola;Luanda;1246700;10339364;8,3;Africa;32;68;;;;;7400;4;700;13489;72;71;;18;0;27;42,9;46,1;Primary;Rural
Antigua & Barbuda ;Saint John's;440;65619;149,1;America ;36;64;;;;;0;4,2;6600;;;;18;72;;9,5;70;73;Tertiary ;Rural
Argentina ;Buenos Aires;2766890;34673391;12,5;America ;88;12;805000;;;;0;-4,4;8100;340;;;30;50;0,1;11;67;74;Tertiary ;Urban
Armenia ;Yerevan ;29800;3590722;120,5;Asia;69;31;;;;;0;5,2;2560;;;;;;;15;;;;Urban
Australia ;Canberra;7686850;18562252;2,4;Oceania ;85;15;615000;;;;405400;3,3;22100;438;;5;15;72;0,47;8,4;73,3;79,6;Tertiary ;Urban
Austria ;Vienna;83850;8014617;95,6;Europe;56;44;;;;;152000;2,4;19000;345;0;7;35;55;0,53;0,9;72,1;78,8;Tertiary ;Urban
Azerbaijan;Baku;86600;7892712;91,1;Asia;56;44;;;;;0;-17;1480;;;;;;;26,4;;;;Urban
"Bahamas; The";Nassau;13940;259413;18,6;America ;87;13;;;;;0;2;18700;809;5;1;11;62;0,48;14,3;67;74;Tertiary ;Urban
Bahrain ;Manama;620;590784;952,9;Asia;90;10;;;;;0;-2;12000;713;;;32;65;0,23;23,3;65;68,4;Tertiary ;Urban
Bangladesh;Dhaka ;144000;131066751;910,2;Asia;18;82;;;;;0;4,6;1130;6166;;57;;30;0;21,6;56;56;Primary;Rural
Barbados;Bridgetown;430;257010;597,7;America ;47;53;;;;;0;2;9800;1042;2;5;;;0,41;8,2;71,9;76,9;Primary;Rural
Belarus ;Minsk ;207600;10468730;50,4;Europe;71;29;;;;;49200;-10;4700;;;;;;;;;;;Urban
Belgium ;Brussels;30510;10099019;331;Europe;97;3;;;;;197000;2,3;19500;317;0;2;23;62;0,5;1,4;70;77;Tertiary ;Urban
Belize;Belmopan;22960;219241;9,5;America ;47;53;;;;;0;2;2750;2046;7;27;13;45;0,07;30;;;Tertiary ;Rural
Benin ;Porto-Novo;112620;5706582;50,7;Africa;31;69;;;;;7600;6;1380;16025;;67;7;24;;29,9;;;Primary;Rural
Bhutan;Thimphu ;47000;1822305;38,8;Asia;6;94;;;;;0;6;730;;;87;0;3;;21,9;49,2;47,8;Primary;Rural
Bolivia ;Sucre / La Paz;1098580;8073920;7,3;America ;61;39;;;;;0;3,7;2530;2214;;42;17;38;0,02;29;;;Primary;Urban
Bosnia - Herzegovina;Sarajevo;51233;3222635;62,9;Europe;49;51;;;;;1000;0;300;;;;;;;;;;;Rural
Botswana;Gaborone;600370;1425275;2,4;Africa;28;72;;;;;4500;1;3200;7185;;4;;66;0,02;35,6;52,7;59,3;Tertiary ;Rural
Brazil;Brasilia;8511965;162698486;19,1;America ;78;22;800000;;;;0;4,2;6100;685;;24;21;5;0,08;20,7;62,3;67,6;Primary;Urban
Brunei;Bandar Seri Begawan ;5770;299953;52;Asia;58;42;;;;;0;2;15800;1469;;3;17;69;0,16;24,3;72,6;76,4;Tertiary ;Urban
Bulgaria;Sofia ;110910;8753260;78,9;Europe;71;29;;;;;43200;2,4;4920;;;;48;33;;11,7;68,2;74,4;Secondary;Urban
Burkina ;Ouagadougou ;274200;10713625;39,1;Africa;27;73;;;;;7400;4;700;1359;;92;2;4;0;28,7;45,6;48,9;Primary;Rural
Burma ;Rangoon ;678500;45933719;67,7;Asia;;;;;;;0;6,8;1000;;;;;;;;;;;
Burundi ;Bujumbura ;27830;6398950;229,9;Africa;8;92;;;;;4000;2,7;600;572;50;93;2;4;0;32;50;54;Primary;Rural
Cambodia;Phnom Penh;181040;10860260;60;Asia;21;79;;;;;0;6,7;660;27000;52;70;;14;0;24,9;46,5;49,4;Primary;Rural
Cameroon;Yaoundé ;475440;13915813;29,3;Africa;45;55;;;;;16500;1,8;1200;12540;;;6;;0;32,6;51;54;;Rural
Canada;Ottawa;9976140;28744482;2,9;America ;77;23;2460000;6900;137700000;1900000;0;2,1;24400;449;4;3;19;68;0,7;7,6;73,3;80;Tertiary ;Urban
Cape Verde;Praia ;4030;448975;111,4;Africa;54;46;;;;;440;4,6;1040;4208;;33;32;14;0,01;24,4;63;67;Primary;Urban
Central African ;Bangui;622980;3277164;5,3;Africa;39;61;;;;;2500;4,1;800;21900;;65;6;27;0;27,7;46;51;Primary;Rural
Chad;N'Djamena ;1284000;5708291;4,4;Africa;21;79;;;;;3300;4;600;47640;;77;6;16;0;23,3;43,9;47,1;Primary;Rural
Chile ;Santiago;756950;14372218;19;America ;84;16;;;;;0;8,5;8000;922;;18;24;51;0,06;17,5;68,1;75,1;Tertiary ;Urban
China ;Beijing ;9596960;1215609480;126,7;Asia;30;70;3170000;24000;;;3;10,3;2900;643;;60;21;14;;14,7;68,4;71,4;Primary;Rural
Colombia;Bogota;1138910;36815655;32,3;America ;73;27;635000;;;;0;5,3;5300;1079;;28;16;46;0,06;20,5;64;68;Tertiary ;Urban
Comoros ;Moroni;2170;568894;262,2;Africa;31;69;;;;;370;0,9;700;12237;53;53;7;11;;34;;;Primary;Rural
Congo ;Brazzaville ;342000;2563112;7,5;Africa;59;41;;;;;7700;3,3;3100;1079;;51;12;32;;14,6;;;Primary;Urban
Costa Rica;San Jose;51100;3495702;68,4;America ;50;50;;;;;0;2,5;5400;798;;24;;46;0,11;24,4;72,4;77;Tertiary ;Urban
Cote d'Ivoire ;Yamoussoukrou ;322460;15291201;47,4;Africa;44;56;;;;;21900;5;1500;17874;;60;10;29;0;35;52;56;Primary;Rural
Croatia ;Zagreb;56538;4671887;82,6;Europe;64;36;;;;;20100;1,5;4300;;;;;;;;;;;Urban
Cuba;Havana;110860;11008730;99,3;America ;76;24;;;;;0;2,5;1300;303;4;20;31;46;0,04;11;72,7;76,1;Tertiary ;Urban
Cyprus;Nicosia ;9250;743118;80,3;Asia;54;46;;;;;0;0;13000;550;6;12;;52;0,4;10,5;73,9;77,8;Tertiary ;Urban
Czech Republic;Prague;78703;10459899;132,9;Europe;65;35;;;;;106200;5;10200;;;;;;;;;;;Urban
Denmark ;Copenhagen;43070;5210876;121;Europe;85;15;;;;;112800;3,1;21700;375;0;5;24;62;0,84;11,9;71,8;77,7;Tertiary ;Urban
Djibouti;Djibouti;22000;427556;19,4;Africa;83;17;;;;;500;-3;1200;5258;;76;8;14;0,01;28,7;;;Primary;Urban
Dominica;Roseau;750;82938;110,6;America ;;;;;;;0;-1;2450;2619;;25;20;;;12,5;;;Primary;Urban
Dominican Republic;Santo Domingo ;48730;7599145;155,9;America ;65;35;;;;;0;3,5;3400;1767;;;16;32;0,03;24,5;63,9;68,1;Tertiary ;Urban
Ecuador ;Quito ;283560;11103324;39,2;America ;58;42;395000;2100;;;0;2,3;4100;826;31;34;18;41;0,03;27,8;63,4;67,6;Tertiary ;Urban
Egypt ;Cairo ;1001450;63575636;63,5;Africa;45;55;900000;3700;;;171000;4;2760;616;;42;20;36;0,02;28,9;59;62,1;Primary;Rural
El Salvador ;San Salvador;21040;5989065;284,7;America ;45;55;;;;;0;6,3;1950;2865;27;;20;37;0,03;25;58;67;Tertiary ;Rural
Equatorial Guinea ;Malabo;28050;431179;15,4;Africa;42;58;;;;;325;10;800;3662;28;57;3;13;;27;48;52;Primary;Rural
Eritrea ;Asmara;121320;3902224;32,2;Africa;17;83;;;;;2000;10;570;;;;;;;;;;;Rural
Estonia ;Tallinn ;45100;1634014;36,2;Europe;73;27;;;;;12300;6;7600;207;;;42;38;0,18;3,7;65,8;75;Secondary;Urban
Ethiopia;Addis Ababa ;1127127;57708770;51,2;Africa;13;87;;;;;24200;2,7;400;36660;95;78;8;13;0;27,9;42,2;45,6;Primary;Rural
Fiji;Suva;18270;781857;42,8;Oceania ;41;59;;;;;4700;2,2;6100;2229;13;44;12;34;;21,8;68,3;72,8;Primary;Rural
Finland ;Helsinki;337030;5100462;15,1;Europe;63;37;;;;;92400;5;18200;503;0;8;30;0;0,52;3,1;70;78,7;Secondary;Urban
France;Paris ;547030;58376462;106,7;Europe;73;27;;;;;1173000;2,4;20200;403;;7;22;60;0,57;4,2;72,7;80,9;Tertiary ;Urban
Gabon ;Libreville;267670;1172623;4,4;Africa;50;50;360000;1300;;;6000;2;5200;2000;;10;15;74;0,01;22,6;49,9;53,2;Tertiary ;Urban
"Gambia; The ";Banjul;11300;1019743;90,2;Africa;26;74;;;;;1100;2;1100;;;73;3;14;;26;;;Primary;Rural
Georgia ;T'bilisi;69700;5770062;82,8;Asia;58;42;;;;;0;-11;1080;;;;;;;9,1;;;;Urban
Germany ;Berlin;356910;81549019;228,5;Europe;87;13;;;15700000;300000;1452200;1,8;17900;346;0;3;37;;0,52;-0,3;72,1;78,7;Secondary;Urban
Ghana ;Accra ;238540;18306690;76,7;Africa;36;64;;;;;25100;5;1400;22217;;59;12;25;0;31,3;52,2;55,8;Primary;Rural
Greece;Athens;131940;10724173;81,3;Europe;65;35;;;;;101700;1,7;9500;300;;24;42;43;;0,8;;;Tertiary ;Urban
Grenada ;Saint George's;340;94911;279,2;America ;;;;;;;0;3;3000;1855;15;14;17;37;;24;;;Tertiary ;Urban
Guatemala ;Guatemala City;108890;11276867;103,6;America ;41;59;;;;;0;4,9;3300;2356;;48;17;31;0,01;32,1;59,7;64,4;Primary;Rural
Guinea;Conakry ;245860;6708485;27,3;Africa;30;70;;;;;6500;4;1020;9732;;76;11;12;0;29;42;43;Primary;Rural
Guinea Bissau ;Bissau;36120;1151076;31,9;Africa;22;78;;;;;1000;0;900;7164;;71;2;;;19,9;39,9;43,1;Primary;Rural
Guyana;Georgetown;214970;717911;3,3;America ;36;64;;;;;0;5,1;2200;6809;;20;15;39;0,02;19;64;69;Tertiary ;Rural
Haiti ;Port-au-Prince;27750;6638083;239,2;America ;32;68;;;;;0;4,5;1000;6083;47;57;7;20;0;19;55;56;Primary;Rural
Honduras;Tegucigalpa ;112090;5604972;50;America ;44;56;;;;;0;4;1980;1586;;47;17;34;0,01;31;63;67;Primary;Rural
Hungary ;Budapest;93030;10320902;110,9;Europe;65;35;;;;;72500;1,5;7000;324;;18;37;43;0,17;-1,9;65,4;73,8;Tertiary ;Urban
Iceland ;Reykjavik ;103000;268445;2,6;Europe;92;8;;;;;5000;3,2;18800;373;0;4;33;;0,46;12;75,7;80,3;Secondary;Urban
India ;New Delhi ;3287590;953122675;289,9;Asia;27;73;745000;;;;1;5,5;1500;2418;;66;12;15;0;20,2;58,1;59,1;Primary;Rural
Indonesia ;Jakarta ;1919440;206759795;107,7;Asia;35;65;1640000;5000;59900000;2100000;0;7,5;3500;7427;;;;29;0;16,1;54,9;57,7;Tertiary ;Rural
Iran;Tehran;1648000;66105378;40,1;Asia;59;41;3715000;93000;34300000;21000000;0;-2;4700;2845;;24;;37;0,03;34;65;65,5;Tertiary ;Urban
Iraq;Baghdad ;437072;21411717;49;Asia;75;25;590000;112000;;3300000;0;0;2000;3224;;12;16;62;0,04;37;61;64,5;Tertiary ;Urban
Ireland ;Dublin;70280;3562164;50,7;Europe;58;42;;;;;54600;7;15400;681;0;12;23;48;0,25;5,9;70,1;75,6;Tertiary ;Urban
Israel;Jerusalem ;20770;5519338;265,7;Asia;91;9;;;;;0;7,1;15500;345;8;3;24;;0,41;15,9;73,9;77,5;Secondary;Urban
Italy ;Rome;301230;58384321;193,8;Europe;67;33;;;18200000;300000;1088600;3,2;18700;233;;8;27;52;0,5;0,6;72,9;79,4;Tertiary ;Urban
Jamaica ;Kingston;10990;2594370;236,1;America ;54;46;;;;;0;0,8;3200;2095;;;19;42;0,07;19,7;70,4;74,8;Tertiary ;Urban
Japan ;Tokyo ;377835;125908113;333,2;Asia;78;22;;;;;2;0,3;21300;609;0;7;32;57;0,41;3,3;75,9;81,8;Tertiary ;Urban
Jordan;Amman ;89213;4211018;47,2;Asia;71;29;;;;;0;6,5;4700;632;;7;23;70;0,06;28,9;67;71;Tertiary ;Urban
Kazakhstan;Astana;2717300;17484350;6,4;Asia;60;40;;;;;0;-8,9;2700;;;;;;;;;;;Urban
Kenya ;Nairobi ;582650;29102518;49,9;Africa;28;72;;;;;36800;5;1300;7615;;18;18;62;;35,7;56,5;60,5;Tertiary ;Rural
Korea North ;P'yongyang;120540;23904611;198,3;Asia;61;39;;;;;0;-5;920;370;10;44;;22;0;18,5;65,5;72;Primary;Urban
Korea South ;Seoul ;98480;46027642;467,4;Asia;81;19;;;;;0;9;13000;1066;7;;33;44;0,27;9,8;67,4;75,4;Tertiary ;Urban
Kuwait;Kuwait;17820;1952975;109,6;Asia;97;3;2397000;99000;5400000;1500000;0;3;17000;675;27;1;23;73;0,14;;;;Tertiary ;Urban
Kyrgyzstan;Bishkek ;198500;4841425;24,4;Asia;39;61;;;;;0;-6;1140;;;;;;;;;;;Rural
Laos;Vientiane ;236800;4969777;21;Asia;22;78;;;;;0;8;1100;6495;;;;;0;24,5;47,8;50,8;;Rural
